"PORT_ID","CODE","NAME","COUNTRY","IS_DELETED"
"00050fd6-5431-421f-bddc-7ffb4a19cac2","UFNFIC","Taocheng","BO",0
"000ad568-f2b3-4029-91bf-7b43cbe3f7a8","SFRCYG","Hachinohe","HT",0
"0011e773-f03b-4654-9f5a-89aa52badd1a","YWAGLD","Manjakandriana","DJ",0
"0012e073-76c7-4dbe-aec4-b3e790780d39","ENLVSE","Stęszew","MX",0
"00157a1f-daf4-409c-bfe8-9c159514bc18","JIJLCK","Malhou","IR",0
"00208993-8714-4743-82c1-caf3feae7344","VZETJA","Cabeço","VN",0
"0022a142-11ae-450a-89a4-95f208971294","FFNFEY","Lobatse","RE",0
"00268ffc-89c1-478e-85b5-8d0079378960","IRZHDP","Cuiabá","CD",0
"007549cd-7746-4fe5-97b8-26b59993b8b7","UVWHSO","Além","SI",0
"007bce72-8dac-46d5-ab8b-dc5a59258730","IUWUVV","Nusajaya","SD",0
"007fb427-eb30-4a3b-aa48-8573cb94fcbd","LKNLDC","Xianyan","MW",0
"0081918f-04f1-4253-a835-8ce458a830b6","GPEHPY","Bahāwalpur","GH",0
"008d7c55-dffd-4f81-b661-9d43b61216ab","NSRSDI","Santa Clara","ZA",0
"0093f8c7-dfe4-4b2e-857e-95e6f5fba381","JJDGPS","Baie-Saint-Paul","NE",0
"009e9b6d-d4ff-4d21-9ed6-8cf95fbca12a","FIHNAH","Veinticinco de Mayo","MM",0
"00a39e55-2196-4152-8069-2c6fbf688d3b","MRBEPX","Sulyukta","MZ",0
"00aaf8f5-d737-435a-b849-53f052de1e74","GKOKYU","San Juan","PY",0
"00b42083-518c-4f19-ac87-163be963de2d","HSQNWW","Kamyzyak","PT",0
"00bd778f-d277-4412-b0f0-9d58146f90e4","RQJBNK","Kostino","AO",0
"00cd1e58-6836-4250-9d82-2cf938be648a","SMGMDD","Chikwawa","GR",0
"00cdc5d5-a068-4866-8e42-ddf7642cfc50","NMHDED","Hŭngju-dong","CL",0
"00d67266-b4ef-4ae5-ac1d-e3c340aeba87","OVOAMB","Casal da Serra","CO",0
"00e4a373-4992-40b9-80e8-4a1445d3c590","WAZPQB","Acajutla","LU",0
"00e6526e-6e7e-4c64-8240-510b89ebe441","HPZRTQ","Aldeia da Mata","LU",0
"00edde19-12e7-4ed5-aeed-e092dd97bcfc","IXNVAA","Lukolela","NI",0
"00eef8a9-fb16-4aa6-a8b1-0d27dbeddb72","LYKAEP","Echeng","MX",0
"00f1f8cc-eebf-4698-94b7-7bba345badc0","ZWGCIL","Xingang","PA",0
"00f9a39c-0fb5-4afd-8146-9d5659fd774e","JOACPD","Brnaze","JO",0
"01015983-c17b-4461-bb57-eecde54a5c8f","SIHGIP","Neuquén","IE",0
