"SHIPMENT_ID";"CARGO_CONTENT";"TEQ_QUANTITY";"TOTAL_COST";"SHIP_REQUEST_DATE";"NEED_BY_DATE";"STATUS";"INSURANCE_FLAG";"INSURANCE_AMOUNT";"IS_DELETED"
"005d3938-8714-40a4-92c4-e767fdaacbe9";"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.";9349;8383328.0;"2019-12-24 02:22:37";"2020-03-27 02:22:37";"RECEIVED";"RECEIVED";12574992.0;0
"00785c9c-062e-4152-9eb4-1b73c3498f82";"In hac habitasse platea dictumst.";3935;1057082.0;"2020-01-25 07:29:30";"2020-04-01 07:29:30";"PROCESSING";"RECEIVED";1585623.0;0
"00896340-280c-435a-abd1-18dbb04329be";"In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.";7663;1766125.0;"2020-04-29 07:49:26";"2020-07-23 07:49:26";"RECEIVED";"RECEIVED";2649188.0;0
"0113ba48-655d-48fe-b60b-eb5c3d2abc32";"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.";9651;1424409.0;"2019-06-08 22:40:04";"2019-07-19 22:40:04";"DELIVERED";"DELIVERED";2136614.0;0
"0188286f-fa41-42e7-81fd-f9781c07a8c1";"In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.";13057;10684436.0;"2019-09-04 00:31:44";"2019-11-10 00:31:44";"DELIVERED";"RECEIVED";16026654.0;0
"01c41b06-edb4-4656-9591-b7223c65b473";"Suspendisse accumsan tortor quis turpis. Sed ante.";5719;8412386.0;"2019-11-24 16:23:12";"2019-12-11 16:23:12";"RECEIVED";"PROCESSING";12618579.0;0
"0228c3cc-4a44-4280-a3a8-6ea27eca9323";"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.";17801;2457430.0;"2020-01-14 20:49:48";"2020-02-25 20:49:48";"PROCESSING";"DELIVERED";3686145.0;0
"02391e01-399d-4f52-9f06-0e3c9eb22c72";"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.";19750;8915836.0;"2019-09-30 14:13:32";"2019-10-28 14:13:32";"RECEIVED";"DELIVERED";13373754.0;0
"024c3b2e-509b-4850-a6f1-68404ced2b7c";"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.";1001;6261438.0;"2019-12-08 06:03:45";"2020-02-09 06:03:45";"PROCESSING";"PROCESSING";9392157.0;0
"026bcec1-9386-4388-88d8-d1b73c9a5896";"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.";15340;9341872.0;"2019-10-03 12:49:47";"2019-11-30 12:49:47";"DELIVERED";"DELIVERED";14012808.0;0
"029d745f-ae06-4d07-970b-fb67ec30ce50";"Quisque porta volutpat erat.";10990;10436123.0;"2019-08-12 22:40:34";"2019-10-25 22:40:34";"RECEIVED";"DELIVERED";15654185.0;0
"02a762e3-feb9-41b2-a023-e208f6f036bc";"In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.";16682;2477017.0;"2020-04-04 16:24:00";"2020-05-13 16:24:00";"RECEIVED";"PROCESSING";3715526.0;0
"02cfc959-e621-4b01-8639-052d5c931e8f";"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.";3663;7686703.0;"2020-01-22 20:23:02";"2020-04-21 20:23:02";"PROCESSING";"PROCESSING";11530055.0;0
"0310642e-5335-4a0a-aa97-456eb8c3a987";"Etiam faucibus cursus urna.";7890;11491446.0;"2019-11-13 05:05:44";"2020-01-27 05:05:44";"RECEIVED";"RECEIVED";17237169.0;0
"033e306e-06d8-45e8-8483-c2df9f6168f8";"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.";6298;5460449.0;"2020-03-24 05:51:21";"2020-06-13 05:51:21";"RECEIVED";"RECEIVED";8190674.0;0
"037b7e81-865e-47b8-bc01-611b1cb493bb";"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.";10224;10812143.0;"2019-10-12 14:08:28";"2019-10-27 14:08:28";"DELIVERED";"DELIVERED";16218215.0;0
