"VOYAGE_ID";"SHIP_ID";"ROUTE_ID";"START_DATE";"END_DATE";"VOYAGE_QUANTITY";"COST_PER_TEQ";"IS_DELETED"
"0040617e-243a-4379-93a7-bc7b4241dd9d";"98a410c5-8b85-455b-bae4-e738ddf721d4";"bd0ce41c-5903-40b0-842c-23cd4ddea1c4";"2020-02-26 23:32:43";"2020-04-05 23:32:43";32418;14001.0;0
"004d142d-eb54-494d-9ee9-be8a31336671";"bed870a4-c0ee-4be2-9d95-7c6ddb425e83";"d75bf413-27db-41e7-8a16-efd858c9d197";"2005-02-03 10:49:39";"2005-02-24 10:49:39";109995;4501.0;0
"005c0c75-b0dc-4891-b2b6-59f6a51e2873";"c349a919-44ae-4a26-abf1-ab4770debbfe";"2ba9a85b-bff0-4578-9835-bf91b418130a";"2016-02-13 13:26:17";"2016-03-16 13:26:17";237779;2013.0;0
"00673867-959f-47f2-8203-c7f041353860";"ff548fe6-31d4-4ec0-a1c9-761cb6548d03";"1f893072-7b7a-4a44-a149-dfaaeb1ed266";"2016-06-14 05:59:24";"2016-08-08 05:59:24";84206;33995.0;0
"00694291-3cae-47dd-8b15-a6ff6f067a15";"e2096907-820c-442d-96d1-50e4a2ab0d09";"18b4e2f3-f32a-41d9-8689-e11a74b49460";"2014-09-07 21:51:10";"2014-11-03 21:51:10";133217;14632.0;0
"006c814d-1775-489d-807c-3734dfa91bb2";"1b178cbd-3ed4-45cc-b17a-273e056bb507";"8f25a0e5-bc79-4ae3-98c5-d596cb1aedab";"2015-01-21 04:31:02";"2015-02-15 04:31:02";139560;26388.0;0
"009d8416-1d67-42ee-9cfe-14d48b5b2785";"95e9f378-b329-473e-a097-1bdc6694d6d2";"e1dd6d7c-8ff6-4571-aa27-4862a941a486";"2014-01-20 10:24:14";"2014-02-22 10:24:14";234125;33264.0;0
"009ffe44-4a31-4963-9dd2-84515126d1c8";"0ba82ffc-20a5-495a-a6f3-c9a2ec1e12ee";"c7fb495b-066d-4968-aa21-aae87d53577a";"2019-02-10 01:00:18";"2019-03-16 01:00:18";141226;6913.0;0
"00c52be3-2ea7-440b-bfd2-7786a9d76f1f";"38d40e6a-503f-49b0-a1d9-68262bf52dac";"21afe2f8-18fc-49f0-b95b-d3f53eab57fd";"2004-11-27 07:42:46";"2004-12-23 07:42:46";146021;14090.0;0
"00cd3b0e-df0b-45ee-a999-cf49145f9c06";"24768f39-3fec-4f72-b42d-6e3d509d6a96";"e07f2ce3-ffff-436a-8c62-a0b8336c4c2a";"2008-07-03 18:07:59";"2008-07-20 18:07:59";237512;10588.0;0
"0146028a-f012-44c6-ac05-a1d9cf098ced";"517056ae-859d-4e75-8a2f-4a77b633d519";"0adb3147-6b22-4064-aab1-de7141e09e41";"2015-09-26 14:19:13";"2015-11-05 14:19:13";121678;20836.0;0
"01827810-6133-45f6-aa72-68d58b508bf0";"27db1a7e-0eef-49ea-b8b9-0158a0193a43";"0719f0c2-e759-4eaf-93fb-0ce20d11cbd4";"2003-03-29 09:31:07";"2003-04-23 09:31:07";39027;28519.0;0
"0198d425-5561-4f28-9bba-835f4e5c80c2";"1f3754a4-2b43-4a49-a31e-57045425af39";"49f200e6-6434-470a-aa6d-7d78b305d8b0";"2012-03-19 19:54:44";"2012-05-12 19:54:44";63101;15850.0;0
"01bfa6c0-aa5a-4533-a53d-10f36e918a30";"1269715f-e107-4e08-a7bc-59cf9014363a";"f8dbdd28-471c-40d6-a170-1be237e1d54a";"2010-02-01 01:58:35";"2010-03-04 01:58:35";218057;10676.0;0
"01c81ea7-6ea1-40af-83b4-bf03bca9477f";"be3df3d3-64da-43fe-a5ef-dc676b1dea0f";"d44a1a31-7bd8-4659-8d93-a3cf562f9a02";"2014-07-23 10:15:57";"2014-09-06 10:15:57";208111;7391.0;0
"01d17511-822c-480b-a83d-c95af78284f8";"98a410c5-8b85-455b-bae4-e738ddf721d4";"06c15309-d2ec-47c0-acbf-2e0bc4f0fe92";"2003-11-08 22:13:30";"2003-12-09 22:13:30";132066;34469.0;0
"01ee693f-64a4-4d1c-bbef-40f5d9865804";"603a6b27-c2fa-4ccd-8740-8180c9033ba4";"6ea430de-bb69-4ef1-86c5-caad01d07a6c";"2004-02-05 03:55:21";"2004-03-20 03:55:21";183231;11049.0;0
"02636d9c-56f8-47df-8cb2-50d92bb85243";"be3df3d3-64da-43fe-a5ef-dc676b1dea0f";"63014c66-b520-4bab-9ae7-eac6b5f07991";"2004-04-26 16:42:05";"2004-05-28 16:42:05";52640;21225.0;0
"027dffb3-b8a2-440c-813d-a19559eecd1f";"74bc29ed-cc10-49d1-9c59-ed227e2a3e7f";"86e7255f-15d2-40f7-aa8b-47b48d1f15ef";"2017-10-21 22:06:44";"2017-12-05 22:06:44";73105;11784.0;0
"02c9b01d-7be8-4e86-be84-18db3a7301eb";"4141e015-56bc-4320-9fa2-09f29ebad9e5";"9d6d861f-767e-4db1-baf4-5f19c0cbe656";"2009-04-30 06:43:31";"2009-06-01 06:43:31";56710;18503.0;0
