"USER_SHIPMENT_ID";"USER_ID";"SHIPMENT_ID"
"4995dd20-34f5-4287-8af8-2993568ed722";"000587bc-a732-489b-bc4e-3e3a9b530efb";"3ba2c4e3-8c04-4ea6-b8b9-649d86372174"
"515e21fc-c311-4acd-80b2-abb7f262bd63";"000587bc-a732-489b-bc4e-3e3a9b530efb";"1b96c627-565d-4b07-a39c-9c6084a92cd7"
"e7071072-817d-4188-be1b-e459ec4e9491";"000587bc-a732-489b-bc4e-3e3a9b530efb";"2d27dd22-aa14-4fbe-bcc5-58ef38289824"
"99308225-201b-45f4-8713-3d001d0198a5";"000f69f8-7600-49b8-83c3-4de1c2a9eece";"adefd2ba-3e36-47cf-b902-7e24c16ad588"
"07c09119-84f3-4f62-97c3-15512fec5f23";"0014bfcf-8ba1-4c89-af91-4229ec50d4c4";"3947a68f-0da5-40e3-b19f-b1efa87759e1"
"2fb22bd3-f0c1-4c2e-ae72-17e3421e18b5";"0014bfcf-8ba1-4c89-af91-4229ec50d4c4";"8abdc7b7-4491-4e1f-b62a-6bcf63f45ee9"
"7e32572a-c178-4127-9410-bb98b37ee199";"0014bfcf-8ba1-4c89-af91-4229ec50d4c4";"558a1052-dce6-45ec-befe-67e203c4944c"
"2b895c22-1ef8-4998-8095-bd4e147b2022";"0037fadc-807b-43da-b8dc-d7e64e6470e4";"daee2d5d-66ac-49ba-849c-1c225b07ed6e"
"ee226a89-ee3a-48af-97ec-431723485e48";"0047bfc4-8642-41b8-8783-3b91a62e9332";"f94b66c4-9cee-4927-b26b-1de0fff8aeeb"
"3e8ac32d-5765-41ef-8bd7-3a59327d8c03";"005c8178-ae8b-4242-8e15-aae06708160a";"e50b8c16-912f-42df-9283-a672d3d526c7"
"628cb40c-2f94-42b6-89ec-4b929f5d6d83";"005c8178-ae8b-4242-8e15-aae06708160a";"ec5db11f-725e-46c5-aaf0-7e92764f218a"
"9dbf7d57-ed4d-4435-b7f7-6e13be421e16";"005c8532-a8bd-409c-9a7f-74d7428800b8";"6bee720a-d8cb-4042-b749-bfee4d734ad4"
"a89cd452-b3b8-4cdf-83a0-c7abaae2b6f8";"005c8532-a8bd-409c-9a7f-74d7428800b8";"a558df89-a954-4a26-aa50-531df0d03f12"
"c960b07c-31bc-4016-9771-b110668f0c18";"005c8532-a8bd-409c-9a7f-74d7428800b8";"0c56ee81-6a71-4f40-9ee2-0603e21d9c9e"
"2ac74fb2-c563-447c-bd9b-7ddd73f495ba";"005e6895-a683-4706-b8b7-b824d61a4d6e";"40e33058-e9e7-472a-a4e3-884239f85035"
"491a5f6a-1836-4325-b0f6-8523721e5f60";"006427c1-0350-4ca3-b39f-071f6f192d87";"f4b685ff-6f3b-45bf-b0b6-b4a5a9899e9e"
"5627c80d-0166-49e6-94d7-76ae15278ed0";"006427c1-0350-4ca3-b39f-071f6f192d87";"2a62f0a3-f92c-4a13-bc43-efa8c7466718"
"8e1c762a-3434-4de8-808d-86e4fd6bbb3c";"006427c1-0350-4ca3-b39f-071f6f192d87";"c9ec2e0d-f4ff-4ff0-805f-4e40521fc44c"
"a71bb61e-4d58-420e-8b9a-a4b9cd54bb6d";"007e15ed-5b70-4b57-b224-57fbe47ef27b";"b9e567da-e4bb-442b-bbf1-8525a2b16169"
"aa6e82a2-4681-4ab2-a7dd-e57e1721f979";"007e15ed-5b70-4b57-b224-57fbe47ef27b";"666500f9-872b-468f-ac59-3eade299028c"
"f83207ea-caf9-4121-8ff8-f3ba64cfa029";"007e51e6-c708-40ff-be26-f536e97acfca";"8adcef21-9fd4-4ce5-a641-5423c8d47d5b"
"24695dbf-f16c-4827-a96b-8dc6d299db1b";"0086a1df-55be-484c-9c97-a407267b8352";"650ea6ff-dc2a-4ec4-833e-a7609e1964bb"
"69ca44a2-fdab-4f22-9847-9eeb579495a9";"00a0429a-97d2-4971-837e-4d4c04ac6df7";"c9f9790b-65a3-45ec-9a5f-72883e21678f"
"c31049e7-bafa-42f2-bde0-17a32727a3f1";"00a0429a-97d2-4971-837e-4d4c04ac6df7";"5c436064-3d3a-4fcc-b7f7-76d08f0f5ecb"
"248ea444-7a43-43c9-818c-f1491274850b";"00ac5446-fdc6-4bc2-86b4-f4126c3de422";"b3fc99c1-4616-4bd2-bee4-ea73fcb4de21"
"8a01752e-d7b2-40c8-ac3e-f4635f4f1231";"00ac5446-fdc6-4bc2-86b4-f4126c3de422";"3cde77fc-a471-4210-a713-bd9f7e8c5f92"
"bc417f38-2c62-4e68-a0aa-f7c0bdc84579";"00c41729-b722-47ef-94f5-dd4a5cb905f9";"be638213-3c15-4ee2-a1f3-152adc97ff45"
