"ROUTE_ID","SOURCE_PORT_ID","DEST_PORT_ID","NAME","IS_DELETED"
"0002520e-547c-4974-b9ab-94d545cb4d60","9903d9de-d935-493a-98d0-0c1014bcf164","7a4eda88-3d2f-4830-8d18-087d7d82755c","Ra-ngae",0
"000570cd-6793-45c7-bae5-f123251363e5","5f06c888-ac64-4ed0-bf29-b316135ab245","0f3919bd-231f-4313-9ef2-6eb740917bbd","Sychëvo",0
"000b315f-aa21-46f2-a327-7f4c8f43e174","25681596-7d25-4ee3-b4ac-09603126aa5d","98daaf77-4376-4021-a4fd-da9c079be6bd","Mont-de-Marsan",0
"000bf123-38fb-44ac-9038-77972c12886a","aa58c998-2496-46fe-a127-06cc0d00c6d0","395a6b67-1086-41d6-a924-1c3c24bfade4","Cotaparaco",0
"000dbe2a-2281-42e0-b7ac-e0da4f34c9bb","4bb3af20-cac1-4f4a-922f-7b80ec003e5b","a5f81dcd-9f8e-4ccb-9d6a-e91ba0d13114","Souq Larb’a al Gharb",0
"000e55ef-d650-40ca-9cbe-516b810d5656","1b74820c-8d06-4fa7-8ae6-cab9bc493b6f","ecea5e68-550c-40fb-9657-54dcde88c7eb","Pasirlaja",0
"00116cc7-8872-4f6e-b6ef-5395a88b68ae","523db3a5-62af-4658-b9ad-5a41c036cf18","190da14f-1769-4791-90cc-58d593b5eb2e","Sumberingin Kulon",0
"00155c15-4924-44d6-9d9c-8d2b4607f945","10358899-449e-4a48-aef0-2c18717af3c1","efa2e3a8-aa3b-4f3f-8142-39959927a7d2","Betafo",0
"001bfe27-4f44-4d7d-bce9-1a234b500e8c","24c7c4a3-4156-4924-8b96-105e17b13d66","a6e49bbd-2c86-442e-b220-e7d5334ee9e6","Karangsari",0
"001fcc09-851b-412b-921c-a06fa16f9b18","5f3bcd2e-fb56-4a9c-8820-054f5d5c5d9f","fc2f2198-8de1-412a-a6d8-05458fdf8fbc","Sovetsk",0
"00213cf1-2673-43ec-9874-5ed11c0c8027","acf066ba-4d62-4e67-8a1d-c67173a9d9d2","6771b340-d2bd-44f0-86fd-8f2d7704c343","Prado",0
"0025ce7b-8df3-4cda-aed6-b7f49387ac29","7588f874-8c91-4514-805f-3ba12a4934b3","27b62b7b-2db6-4269-9bf4-70b540d85be9","Ciudad Arce",0
"0030d670-3ce6-404a-8266-4349297c1731","896d282d-a0bc-4698-99c9-4f3fd5812809","3686e5f1-1208-4fc3-ac98-23dfe3d7ed3f","Paris 08",0
"003347e4-e12d-4e4b-aacb-cf07af174da3","5e1a2a2f-12ec-4dfb-afbe-2741b90541b3","5bb4d09f-6127-4dbd-adc7-276fe70d99ad","Hongdun",0
"0038c753-3e97-4915-9418-c85c05335016","c768f76b-d0a7-47c8-84d9-8cdbb0668fb1","9aae123b-3e5f-41be-a8b1-8ba1ac54b7c2","Lëbushë",0
"0040ec0a-c980-42d1-a39a-0126fffb37ae","2f5533f3-087b-42ac-a6ac-9fbbee0265a9","79d6d014-17c4-499b-b9a9-490c5ced9c93","Mandepa Barat",0
"00452df8-2fe6-481a-82a9-724f31f08255","2adb8dab-1587-4bdd-be22-0d247a3a8296","4f91eace-9f04-4c83-bb99-c8cfefe8762e","Saint Petersburg",0
"004cd6c7-b9eb-44eb-8c16-35e3a0ccd7d3","f101828d-d9ff-4120-a4ca-f8d93a7f316e","84d8b2a6-86cd-4fce-88fc-78b62a4d6036","Babura",0
"004fabaf-33f6-468e-8f23-e28425ef52be","fc7ffde4-840e-44a5-8f8d-c801a029ca93","20cec8f6-16e2-45bb-a130-55c0d0717145","Huanan",0
"0054f49d-c05a-457c-bbd4-4e79c9e731fa","cb30379b-665e-4aea-b755-e6227cded3fa","8433938c-0c70-4435-a98b-5cc7eba82073","Maglajani",0
"0069c728-bb73-482d-9348-616adfc28555","6e62c6dc-d437-410f-8b2f-cd092d9f5497","1a6c52fe-31e6-40f7-8168-4a6d6313f77c","Lalukoen Dua",0
"006b7b90-ad77-4bd3-beb0-d1dcea954ec6","e31dcc23-e35b-4042-9206-b26092913280","109fcd44-de79-453d-a66f-17060e269246","Lushnjë",0
"00721db9-f637-4b46-9da3-e94773865f58","c82ab602-fa0f-4979-a8bb-0557490f24cb","edf75ff1-d3b6-4cdb-a665-bc1c8bf79d91","Arpajon",0
"00751e41-fa3f-4b1d-9616-1647a371e9f9","0011e773-f03b-4654-9f5a-89aa52badd1a","9be0000a-34bc-435f-b1c3-255ec7d4409e","Ponjen",0
"0075905c-58cf-464a-97ca-64a1080b77b9","162ef189-7bfc-4688-b01b-4c0bb27ff80e","d448b740-2be4-4c3f-814c-87da2f5495a7","Enschede",0
"0083a363-399a-471b-aa9e-bfd1c5f59a29","24025f45-8b0b-4dea-9443-48ea1ac08c45","60ccc70b-7b29-4124-a5ae-3f6438fb8239","Zinat",0
"00950dbd-6eb7-483e-9ebd-142598ee4b04","d8ef19a6-7059-4a46-b0fc-2c37a5cec4b8","b8085d24-b1b4-4a29-b821-627ce4c43ff8","Jacksonville",0
"00951c0c-f884-4b72-b1f1-fb24ef99e648","860416a3-085d-4378-b3db-c11731711d67","7fd2b722-61a1-4f2b-b62d-a0b18289afee","Tallahassee",0
"00955a07-6bfa-43fc-b5c9-478373b4a15f","5106eda5-281a-4db7-beb6-859e820f91e3","b0d1bfe9-2a0d-462c-80db-601b47428cec","Macheng",0
"00a01884-b6cc-434f-b999-4b13a43a5e25","4a60957e-1039-4e7c-9ab1-d1791bdb6362","0610eaef-3a65-4fc0-8964-2701bb593e63","Jeblog Satu",0
"00a3a835-a37b-44ce-8f21-6ad30140a2f7","4f76e55b-c5ad-435a-8f81-c0f330437477","b3395ffb-795c-4337-8dc8-b1e374fa6cff","Spitak",0
"00a668fd-5032-47d3-bfc7-af8adb6c6683","79eb1a65-d8a4-41fb-9b2c-cf75487eeb70","54470121-b3ef-44e1-9597-893d004326a1","Guojia",0
"00a8eecf-10b8-4a80-9e9a-2e74abfe4431","f4b65e9e-562e-4109-8c83-22217cebc1be","bfed2d5f-618b-43b5-9eb0-880471491935","Nevel’",0
"00ab900c-dcc5-48f4-ba7f-12c8a3956c13","4a7a771f-9c9e-44f5-bdd9-fed7717561b1","330ba109-9ba3-49ba-8a26-0e1ef5ae26c7","Wuxue Shi",0
